"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.199.1","192.168.199.255","BROWSER","227","Become Backup Browser"
"2","1.720331","fe80::78da:c04d:12da:8a08","ff02::1:2","DHCPv6","145","Solicit XID: 0xca8e45 CID: 0001000118659849b888e3ab8379 "
"3","2.718767","fe80::78da:c04d:12da:8a08","ff02::1:2","DHCPv6","145","Solicit XID: 0xca8e45 CID: 0001000118659849b888e3ab8379 "
"4","3.718820","fe80::78da:c04d:12da:8a08","ff02::1:2","DHCPv6","145","Solicit XID: 0xca8e45 CID: 0001000118659849b888e3ab8379 "
"5","5.719073","fe80::78da:c04d:12da:8a08","ff02::1:2","DHCPv6","145","Solicit XID: 0xca8e45 CID: 0001000118659849b888e3ab8379 "
"6","9.719499","fe80::78da:c04d:12da:8a08","ff02::1:2","DHCPv6","145","Solicit XID: 0xca8e45 CID: 0001000118659849b888e3ab8379 "
"7","17.719728","fe80::78da:c04d:12da:8a08","ff02::1:2","DHCPv6","145","Solicit XID: 0xca8e45 CID: 0001000118659849b888e3ab8379 "
"8","18.293727","::","ff02::1:ffd1:9199","ICMPv6","78","Neighbor Solicitation for fe80::65b5:3a97:92d1:9199"
"9","18.293801","fe80::65b5:3a97:92d1:9199","ff02::2","ICMPv6","62","Router Solicitation"
"10","18.293857","fe80::65b5:3a97:92d1:9199","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"11","18.789733","fe80::65b5:3a97:92d1:9199","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"12","19.290128","fe80::65b5:3a97:92d1:9199","ff02::1","ICMPv6","86","Neighbor Advertisement fe80::65b5:3a97:92d1:9199 (ovr) is at 00:0c:29:61:f5:5f"
"13","22.290186","fe80::65b5:3a97:92d1:9199","ff02::2","ICMPv6","70","Router Solicitation from 00:0c:29:61:f5:5f"
"14","24.790066","VMware_61:f5:5f","Broadcast","ARP","42","Who has 169.254.145.153? (ARP Probe)"
"15","25.790144","VMware_61:f5:5f","Broadcast","ARP","42","Who has 169.254.145.153? (ARP Probe)"
"16","26.290306","fe80::65b5:3a97:92d1:9199","ff02::2","ICMPv6","70","Router Solicitation from 00:0c:29:61:f5:5f"
"17","26.790117","VMware_61:f5:5f","Broadcast","ARP","42","Who has 169.254.145.153? (ARP Probe)"
"18","27.790127","VMware_61:f5:5f","Broadcast","ARP","42","ARP Announcement for 169.254.145.153"
"19","33.722160","fe80::78da:c04d:12da:8a08","ff02::1:2","DHCPv6","145","Solicit XID: 0xca8e45 CID: 0001000118659849b888e3ab8379 "
"20","43.317391","192.168.199.1","192.168.199.255","BROWSER","227","Become Backup Browser"
"21","52.021523","0.0.0.0","255.255.255.255","DHCP","363","DHCP Request  - Transaction ID 0x4fbbfa9a"
"22","52.021657","192.168.199.254","192.168.199.133","DHCP","342","DHCP ACK      - Transaction ID 0x4fbbfa9a"
"23","52.195516","fe80::65b5:3a97:92d1:9199","ff02::1:2","DHCPv6","157","Solicit XID: 0xe84bb6 CID: 000100011f0c78b5000c2961f55f "
"24","52.248616","fe80::65b5:3a97:92d1:9199","ff02::1:2","DHCPv6","157","Solicit XID: 0x98cc21 CID: 000100011f0c78b5000c2961f55f "
"25","52.262022","192.168.199.133","192.168.199.255","NBNS","110","Registration NB DESKTOP-V1FA0UQ<00>"
"26","52.262375","192.168.199.133","192.168.199.255","NBNS","110","Registration NB WORKGROUP<00>"
"27","52.290290","VMware_61:f5:5f","Broadcast","ARP","42","Who has 192.168.199.133? (ARP Probe)"
"28","52.290367","::","ff02::1:ffd1:9199","ICMPv6","78","Neighbor Solicitation for fe80::65b5:3a97:92d1:9199"
"29","52.290414","fe80::65b5:3a97:92d1:9199","ff02::2","ICMPv6","62","Router Solicitation"
"30","52.290469","fe80::65b5:3a97:92d1:9199","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"31","52.523331","fe80::65b5:3a97:92d1:9199","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"32","52.525720","192.168.199.133","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"33","52.791241","192.168.199.133","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"34","52.791400","fe80::65b5:3a97:92d1:9199","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"35","52.952099","fe80::65b5:3a97:92d1:9199","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"36","52.953832","192.168.199.133","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"37","53.008814","192.168.199.133","192.168.199.255","NBNS","110","Registration NB DESKTOP-V1FA0UQ<00>"
"38","53.009095","192.168.199.133","192.168.199.255","NBNS","110","Registration NB WORKGROUP<00>"
"39","53.117890","0.0.0.0","255.255.255.255","DHCP","363","DHCP Request  - Transaction ID 0x53cafc35"
